start	end	text
0	2000	Subscribe, like and share.
2000	6000	Today's series exists in thanks to the support of its viewers.
6000	10000	If you want to be one of them, find your way in Patreon,
10000	15000	YouTube, PayPal and Stripe.
15000	18000	And we are grateful to our community.
21000	26000	In April, 38 years ago, an accident occurred in the nuclear power plant in Chernobyl.
26000	31000	It has been identified as the heaviest in the history of nuclear power.
31000	33000	But the problem is not only that.
33000	38000	The communist government of Bulgaria hides the information about the incident.
38000	41000	While the people on the streets are protesting,
41000	44000	people are eating with a bright light on the salad.
44000	47000	The radioactive cloud is over Bulgaria.
47000	52000	The communist nomenclature drinks mineral water and eats tested food.
52000	55000	Who will change the measures against radiation?
55000	59000	We will talk to Professor Dmitar Vatsov from NoBulgarian University.
59000	63000	He is the author of the research on the archaeology of Moral Debilism.
63000	65000	Hello, Professor Vatsov.
65000	66000	Hello.
66000	68000	Let's start chronologically.
68000	70000	This event is happening.
70000	75000	Mira is even doing a quick research in the library.
75000	77000	A preview of the seal.
77000	79000	A preview of the seal.
79000	81000	How is this event reflected?
81000	85000	And since we are separating from it,
85000	88000	it is good to start chronologically.
88000	93000	How does it start and how do we understand in Bulgaria that such an accident happened?
95000	97000	For the accident in Chernobyl itself,
97000	100000	we understand from the workers' office,
100000	103000	if the first publication of April 28th is not wrong,
103000	106000	in which they say that the accident happened,
107000	112000	and they do not mention anything about any risks that the Bulgarian country faces.
112000	115000	In the next few days,
115000	117000	in two days,
117000	120000	the Atomic Energy Committee publishes again,
120000	123000	through the BTA and the workers' office,
123000	127000	a short message with which it explains that there is no danger to the population,
127000	129000	and so on until May 6th.
129000	131000	So, in fact, the government is hiding,
131000	134000	even though it knows perfectly well what is happening.
134000	137000	They are warned by the Soviet ambassador
137000	140000	about the testimony of the protection of Todor Zhivkov
140000	143000	a few days before the radioactive rain in Bulgaria,
143000	146000	that is, at the end of April itself.
146000	148000	The measurements of the radiation in the country
148000	151000	will begin on April 30th.
151000	154000	From May 1st and 2nd,
154000	156000	measures are taken,
156000	159000	full measures, full quarantine,
159000	162000	on food, water, nomenclature.
162000	165000	The nomenclature must be for the parties,
165000	168000	that is, the CKA of the BKP,
168000	171000	with the secretary and the Politburo,
171000	174000	and those positions in the country, including the government,
174000	177000	which are their preconditions.
177000	180000	These people are fully taken care of.
180000	183000	Even from the first days of the coming of the radiation,
183000	186000	the radiation comes here on May 1st and 2nd.
186000	189000	Because this is not a cloud that is evenly spreading everywhere,
189000	192000	it is overflowing with rain during this period,
192000	195000	between the first and the second,
195000	198000	and then the situation in Bulgaria becomes very difficult.
198000	201000	I am sure that there are three conditions
201000	204000	in Bulgaria at that time,
204000	207000	something like the state of Platonov.
207000	210000	From above are the tsars,
210000	213000	from below are the guards, as a second condition,
213000	216000	and from below are the peasants and the beggars.
216000	219000	From above is the nomenclature.
219000	222000	From below, with the words of the guards,
222000	225000	one of the soldiers, who were better protected,
225000	228000	and we will talk specifically about this,
228000	231000	from Kolko, the other population,
231000	234000	and Dubitaka, from which Obol was fed.
234000	237000	Dubitaka, from which Obol was fed,
237000	240000	in their steppes, they had independent steppes,
240000	243000	for the ecological food of the nomenclature,
243000	246000	Dubitaka drank deep-rooted water.
249000	252000	Water is one of the most important criteria.
252000	255000	The nomenclature drank mineral water
255000	258000	and drank deep-rooted water,
258000	261000	so that it was not infected.
261000	264000	Dubitaka, from the nomenclature,
264000	267000	drank deep-rooted water,
267000	270000	and the whole population drank water from sparks
271000	274000	The animals for Obol, for the special ones,
